scenario,seed,days,avg_fill_rate,p10_fill_rate,avg_utilization,avg_price_usd_gpuh,final_price_usd_gpuh,avg_active_gpu_nodes,final_online_gpu_nodes,min_reserve_ratio,final_reserve_ratio,weak_reserve_days,severe_reserve_days,final_treasury_usdc,protocol_revenue_usdc,avg_margin_usd_gpuh,avg_gossip_latency_ms,min_giant_component_fraction,avg_verification_detection_probability,undetected_bad_share,final_sybil_fake_nodes,spiral_flag
stress,0,365,0.5359270662866166,0.3192962570728162,0.9925528303272277,0.2508255745955036,0.22399999999999676,330.84383561643835,328,-1.1270728871642153,8.102079386012857,33,30,58005.01802293213,57643.995544629564,0.090970535781271,365.68420565273067,0.9996636334491886,0.09993603564939807,0.03600354652962903,0,1
stress,1,365,0.5262396808136744,0.299417509555671,0.9952729163076562,0.25084980516714445,0.22399999999999676,327.5753424657534,329,-0.9825244218228105,7.848763377472022,33,30,56601.502427479536,56223.968270765465,0.0870280891242478,365.36354168080095,0.9996636334491886,0.09993144902748073,0.03600402197839957,0,1
stress,2,365,0.5384552265506891,0.302817576660457,0.9933605231691733,0.2508406678719869,0.22399999999999676,337.55068493150685,329,-1.2576305637943845,8.408870626478747,33,30,57558.385012026636,57511.91315613306,0.08840305071114087,366.35420096040264,0.9996636334491886,0.09993646853525195,0.03600352604739942,0,1
stress,3,365,0.5162073139982846,0.30311229440354753,0.9971860741417439,0.250845437880165,0.22399999999999676,330.84657534246577,317,-1.0047273882380376,8.58038315440706,33,30,55073.450974837295,55500.109717427425,0.08832598579694217,365.67259270854754,0.9996636334491886,0.09993980529191807,0.03600358846437374,0,1
stress,4,365,0.5403294257595849,0.30805765593897994,0.9929867004550896,0.2508488608357283,0.22399999999999676,338.9945205479452,336,-1.197774889787,8.349108296823307,33,30,57903.65714878925,57766.13119239589,0.0880062943528229,366.52237038036486,0.9996636334491886,0.09993568069150927,0.03600358518852613,0,1
stress,5,365,0.5162902451161794,0.2953570210688611,0.9949632127623169,0.2508512847820224,0.22399999999999676,325.83561643835617,320,-1.0977196068860442,8.169782472691576,33,30,55049.878468464565,55176.57694349678,0.0872441851203733,365.21029181625164,0.9996636334491886,0.0999323080434677,0.03600407711912113,0,1
stress,6,365,0.5222137010448419,0.2839931404571975,0.9924296465952178,0.25083872722009243,0.22399999999999676,316.67123287671234,304,-1.168417045859458,8.599342274686867,33,30,54765.389708223935,55236.0442298476,0.0878644582023279,364.14291329534984,0.9996636334491886,0.09993319445708819,0.0360038312335828,0,1
stress,7,365,0.5297492341279799,0.2934841797912242,0.9928057458543538,0.25082920456311575,0.22399999999999676,329.56164383561645,321,-1.1167703954999773,8.388768182809612,34,31,56089.76969168542,56237.05767499514,0.08677098238668882,365.5552619433107,0.9996636334491886,0.09993840848378487,0.03600340471224518,0,1
stress,8,365,0.5294578082015479,0.30841126807644775,0.9961415514290128,0.250846264116994,0.22399999999999676,332.35890410958905,336,-1.0470383270285122,8.05144735638445,33,31,56887.030637065305,56662.43302448779,0.08882021604979402,365.9407242405597,0.9996636334491886,0.09993131716838446,0.03600376358441353,0,1
stress,9,365,0.5211450887312034,0.2822834497522613,0.9931841599982165,0.2508243051865235,0.22399999999999676,324.0027397260274,323,-1.2338824302569107,8.357848137971994,34,31,54474.49633041389,54810.82226176124,0.08707571165943037,364.86709555390655,0.9996636334491886,0.09993810895488006,0.036003635883037774,0,1
stress,10,365,0.5355186368598563,0.28876206628415807,0.9923308081810471,0.25083131946679627,0.22399999999999676,323.6465753424658,318,-0.9297094085216041,8.647998853796832,32,29,55962.31752320699,56301.5144380204,0.0846208859900987,364.8446991276331,0.9996636334491886,0.09993929471656915,0.0360037217924452,0,1
stress,11,365,0.5048503990533133,0.27122109260801486,0.9957758048320533,0.2508343200785424,0.22399999999999676,318.32602739726025,305,-1.0813593130450994,8.593664761022154,34,31,52860.41694602422,53598.96818633156,0.08688950778845657,364.3476277101848,0.9996636334491886,0.0999428320208981,0.03600351942958695,0,1
stress,12,365,0.5256366525472337,0.28831341761689433,0.9907644533324556,0.2508432672028594,0.22399999999999676,329.14520547945204,304,-1.2158805786163183,8.73794866616233,34,31,54936.75567913466,55494.75842690271,0.0875316356736062,365.46841432415226,0.9996636334491886,0.09993710354185728,0.036003711324086696,0,1
stress,13,365,0.5484909124604811,0.31651683687433724,0.9937402128951469,0.2508402757934933,0.22399999999999676,335.55342465753426,328,-1.3581362391762244,8.310698452395092,33,30,57841.6965873272,57675.2622095903,0.088134622588561,366.1010552622797,0.9996636334491886,0.09994272855779084,0.03600326561864149,0,1
stress,14,365,0.542313099813514,0.3211982544144397,0.9959120794057423,0.25086176796222237,0.22399999999999676,336.5890410958904,336,-0.9967952418913678,8.13876085443736,32,29,58754.64593627824,58318.828795348374,0.08867158057239198,366.26847174044417,0.9996636334491886,0.09994119212654941,0.03600335279504171,0,1
stress,15,365,0.5124822002765785,0.2697634305168158,0.9939565413093069,0.2508555147258352,0.22399999999999676,323.0082191780822,310,-1.2200893717149068,8.734342748855951,34,31,54272.73611486625,54916.986947209894,0.08659468523131685,364.88105627030666,0.9996636334491886,0.09993318953261679,0.03600397806602971,0,1
stress,16,365,0.5503793749492804,0.3148603285535129,0.9939356376003118,0.2508568251749418,0.22399999999999676,344.2219178082192,341,-0.9733413274793442,8.648751525184863,32,29,58534.90569232938,58533.57335006812,0.0873869998664531,366.98144685146247,0.9996636334491886,0.09993713308896607,0.036003662370163884,0,1
stress,17,365,0.5342967535100036,0.29141726426855474,0.9960961901910146,0.2508311121941586,0.22399999999999676,332.2,301,-0.9234368277337279,8.764333344570652,32,29,56593.61662980932,56942.428996664734,0.08583039058513119,365.7693809697535,0.9996636334491886,0.09993059942346333,0.03600418466478697,0,1
stress,18,365,0.5274649578567598,0.28370915563481247,0.9942014579091182,0.2508425971299061,0.22399999999999676,325.94794520547947,308,-0.9184090402572533,8.776365708447662,32,30,54990.4909084768,55557.91307584776,0.08811114906346988,365.1242894355032,0.9996636334491886,0.09993797814253579,0.03600369450057068,0,1
stress,19,365,0.5396085177421109,0.30655460522772177,0.9905348455078794,0.25081570974650336,0.22399999999999676,330.88493150684934,337,-1.2159774462895492,8.073171250955744,34,31,56101.30493663568,55999.801106649225,0.0880656103602225,365.7282851535993,0.9996636334491886,0.09994011315239729,0.036003401903473904,0,1
