scenario,seed,days,avg_fill_rate,p10_fill_rate,avg_utilization,avg_price_usd_gpuh,final_price_usd_gpuh,avg_active_gpu_nodes,final_online_gpu_nodes,min_reserve_ratio,final_reserve_ratio,weak_reserve_days,severe_reserve_days,final_treasury_usdc,protocol_revenue_usdc,avg_margin_usd_gpuh,avg_gossip_latency_ms,min_giant_component_fraction,avg_verification_detection_probability,undetected_bad_share,final_sybil_fake_nodes,spiral_flag
base,0,180,0.98236870996144,0.9274533537939362,0.9021137061858294,0.4523983359975978,0.46581353585864,508.9222222222222,515,1.6762220123702418,2.6550069900310267,0,0,136854.26603172228,68713.88394945656,0.25485328817743785,335.2366941889524,0.9996636334491886,0.17999999999999997,0.012300000000000002,0,0
base,1,180,0.9861263283720593,0.9499481972219588,0.9034435769603839,0.45540823727492447,0.46581353585864,518.2388888888889,516,1.653797306609644,2.628935930373018,0,0,138705.4889692207,69339.47089105545,0.25469345445220026,335.86341149337807,0.9996636334491886,0.17999999999999997,0.012299999999999998,0,0
base,2,180,0.9718621817034334,0.8845914567329421,0.9265199162583484,0.44956292717239826,0.46581353585864,512.1222222222223,517,1.6712342569212002,2.6826769352413424,0,0,135631.58392974324,68477.94848360344,0.25113596454677556,335.4497477125473,0.9996636334491886,0.17999999999999997,0.0123,0,0
base,3,180,0.9706590731487688,0.8753548387951318,0.920000049956398,0.4541457269242296,0.46581353585864,508.7388888888889,511,1.6684515941709037,2.6739257168999595,0,0,135289.73937624664,68107.09142701107,0.254739297474984,335.223157496111,0.9996636334491886,0.17999999999999997,0.012299999999999998,0,0
base,4,180,0.9901532821828827,0.9544425243896323,0.8982593070457818,0.4516240384400376,0.46581353585864,520.1333333333333,534,1.6723708501468544,2.611851710604361,0,0,140789.42042336275,70267.3320790498,0.25346221092722193,335.990371388965,0.9996636334491886,0.17999999999999997,0.012299999999999998,0,0
base,5,180,0.9686674869456273,0.8642611477390164,0.9116949965387058,0.4605043787480505,0.46581353585864,503.68333333333334,495,1.6631130644585164,2.7310832900458695,0,0,133423.15440886276,67977.6861693851,0.25888585164574385,334.86923380807724,0.9996636334491886,0.17999999999999997,0.012300000000000002,0,0
base,6,180,0.984187850531485,0.9408304810293762,0.9043258201606684,0.4467705057805096,0.46581353585864,509.76666666666665,510,1.6647498378935393,2.6480382561861826,0,0,136224.36548580418,68195.24227117552,0.24837738798889245,335.283408031628,0.9996636334491886,0.17999999999999997,0.012299999999999998,0,0
base,7,180,0.9801483349942907,0.9228227407007943,0.9180824221082828,0.4538188983399509,0.46581353585864,502.24444444444447,504,1.6742360256879372,2.6841549613595874,0,0,135075.16761284045,68162.51458538751,0.2547427747795956,334.77393560692093,0.9996636334491886,0.17999999999999997,0.0123,0,0
base,8,180,0.9824870758036325,0.9302380625965602,0.9140899194073159,0.45909775713399426,0.46581353585864,508.05,518,1.6684402896663264,2.654911101471674,0,0,136918.77892666482,68750.33534721241,0.26015351012560445,335.17944112986413,0.9996636334491886,0.17999999999999997,0.012300000000000002,0,0
base,9,180,0.9720894410304513,0.9025741871078997,0.9223212321354404,0.45176899469544984,0.46581353585864,511.7888888888889,524,1.665189556136476,2.6850704638735796,0,0,136059.21020515735,68784.5680664803,0.2523175542120584,335.4062502899897,0.9996636334491886,0.17999999999999997,0.012300000000000002,0,0
